perms,i=0,i=1,i=2,i=3,i=4,i=5,i=6,i=7,i=8,i=9,i=10,i=11,i=12,i=13,i=14,i=15,i=16,i=17,i=18,i=19,i=20,i=21,i=22,i=23,i=24,i=25,i=26,i=27,i=28,i=29,i=30,i=31,i=32,i=33,i=34,i=35,i=36,i=37,i=38,i=39,i=40,i=41,i=42,i=43,i=44,i=45,i=46,i=47,i=48,i=49,i=50
"[10,6,2,2,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,1,194,12981,479400,11533632,196851900,2527232767,25539967108,210730948252,1462343515648,8743810268218,45953424011202,215791993649622,917881715096884,3577184210682525,12897037445871097,43370221157073725,136990040806634737,408883963142583299,1159288033605221599,3136434837659946629,8129474532519421183,20257700887267685733,48681431627309923440,113129447105864982441,254854108798249600727,557781862379449194599,1188366663651865970231,2469006932407055223124,5010474265565977397640,9946135054716377370555,19338653555594624138661,36874104397296062744987,69027536546927391155044,126990536931775471654770,229813368887535729494660,409457775379875313500433,718818349685349246859761,1244302158596257882244690
"[10,6,2,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,1,174,9175,283439,6098361,97758596,1214274505,12068085696,98771455677,682927596140,4077941952433,21427614931764,100658422048318,428418969255984,1670815515769466,6028155271286032,20285132176626547,64112640709587254,191468551122536918,543132625057888612,1470090199874584176,3811899951980222703,9502128236303938608,22841700029543545919,53095755187274942386,119641379071657592584,261907559227388294995,558107276875053866137,1159749240349993667808,2353896058335544046288,4673287699145021126045,9087575241030083946907,17329718772680311501480,32444113731522247747060,59693111064406027074098,108034817457445547961193,192499619641196993027078,337963090412276856114822,585063115160882157034631
"[10,6,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,60,2713,71248,1358522,20166215,239738891,2327983349,18835254636,129552562778,772095298474,4055898210678,19063329310457,81209813638421,317039225063943,1145025068228284,3856831167471470,12200677372420301,36465920581413717,103516030761075456,280364272771085464,727386678842330279,1814101158294144100,4362753755491205743,10145225181903496310,22868285244801441497,50076462562182338092,106738711948229795537,221857508173124115533,450393157387862537393,894358396635806671690,1739454069889673099510,3317605090278036026109,6211987515279110393397,11430741462268501269218,20690176070164275438723,36870234240727670898466,64737617236055778937033,112079934019540343482080
"[10,5,5,3]",0,0,0,0,0,0,0,0,0,0,0,0,0,8,2044,119839,3528003,65949849,881688051,9062107140,75200941434,522101275677,3115977691330,16330241335813,76451131417598,324223103482077,1260098011336989,4531877086194116,15206411107239852,47938665747642316,142844358840062302,404401593887124854,1092690529154782106,2829001059662676782,7042573437000655339,16909382817054040132,39265278542870712033,88395978424846140096,193351283601941012876,411722272903043623690,855013539198212925246,1734397089224006900865,3441616428043702601778,6689439358809693356450,12751321874611836653741,23863789230772712887956,43891780455226523420410,79413090340865752593518,141462031926915003061678,248297224354613026856466,429741800879987451205506
"[10,5,5,2,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,40,6254,326284,9195127,168859527,2241007798,22968815969,190458098866,1322506194866,7897239421972,41416443245566,194031388063399,823425621838263,3202223049226485,11522953071410190,38683246705999295,122001963770071159,363668330180097215,1029903000097593585,2783581187098109235,7208544959793362801,17949001957963944523,43104196360120043954,100109060675463326019,225403940940105415555,493097609737606325762,1050123984656739829122,2180991503101296404586,4424552950603684400580,8780493829863525917917,17067821110962209493382,32536601219129819661756,60895068085284412150500,112008020127354680741099,202665109808316812702760,361032061707568894215757,633716440496796406397934,1096847816316427089132756
"[10,5,5,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,51,4935,217582,5723137,101980528,1335163453,13601277627,112492583229,780448035334,4660130012706,24447592494103,114589316732793,486547713408386,1893119006330249,6815547710991602,22890300871275532,72221588697976326,215356547136209308,610075452667681181,1649338459923936553,4272263395468394001,10640028578797946106,25556610369197559527,59364773742458419528,133684301436026220203,292488024342858586300,622968071680654290327,1293968594914281548495,2625299958547488131090,5210316017676441709630,10128732987763665435959,19309806160707178804200,36142126021463816377733,66481993062966621719363,120297059145972937459318,214309258813286890661422,376190241316766113265901,651140567195406427382555
"[10,5,4,4]",0,0,0,0,0,0,0,0,0,0,0,0,0,6,1468,89300,2663300,50092241,672063424,6923655957,57551670259,400080229616,2390175184946,12536833724186,58732109265691,249219569795867,969056198927346,3486556153483157,11702872642958607,36904290946840548,109991949251607792,311460010679331381,841715794414933684,2179563553535259339,5426588431203838932,13030907479162809725,30262198419776198446,68133959385444232927,149043400429759760613,317395333967069757941,659168026740045342487,1337197636668568332671,2653571625538354018257,5157949180365324298094,9832399887289383558190,18401743129280738071026,33846709594438916597241,61240354850677610198104,109092939729475176398250,191486743428531605036742,331423735088835689624660
"[10,5,4,3,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,55,10136,559245,16117429,299161527,3994452346,41102683518,341793358364,2378486459534,14227200522907,74716268597164,350432338212791,1488543891130286,5793305338547690,20860355510445962,70067963566926214,221088227946084547,659289880610473157,1867731356655521147,5049499336456708705,13079795189915543697,32575259269910429540,78243630492745236650,181749907911920706731,409283995256777756301,895469862974801074871,1907246995626855478371,3961530457069087598472,8037412083853345230014,15951421583150012348925,31009052562211591702016,59116591148248706975124,110647937762071128496846,203531621647592429734908,368282588965655153611580,656093159301833568113738,1151676705990565861644672,1993408819913612681447292
"[10,5,4,2,2]",0,0,0,0,0,0,0,0,0,0,0,0,0,56,9290,494140,14032714,258963486,3450949022,35499354596,295315901449,2056416411082,12309613680314,64690961793293,303605299818916,1290363697599253,5024480251235745,18099728485354090,60817715917330903,191961625547748555,572590874247131235,1622502629204460490,4387412547977161228,11366806547643482770,28313446417230826662,68016238569901090112,158011702861718230753,355864753256850994854,778665537120986986626,1658601446860602376954,3445317164315907549085,6990529548581874494160,13874516096358410401254,26972979930816090450317,51424431175223179176127,96254513673405867178235,177062083455778013122068,320397562415060901770258,570803315930033228128257,1001989807211090882812149,1734362032899555667893335
"[10,5,4,2,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,192,20017,918004,24609212,443051241,5838789048,59760495699,496052390414,3451387669973,20656487931440,108572704829080,509695382652567,2166998266151282,8440811734863277,30416145149160663,102232677963815663,322766794086240437,962988509358763649,2729308517944121413,7381686807542151480,19127405869397434063,47651049057943121317,114484623548542154260,265994246666754074691,599115896594969676609,1311036707501715112508,2792799386618595829531,5801723411256431645516,11772393619898326761408,23366658128570785816910,45428591300902321339268,86614227901837130615714,162128112229637921828151,298248711039038336702728,539705060575401105689660,961538601577163768709426,1687933395267490153875635,2921746080423668248758493
