perms,i=0,i=1,i=2,i=3,i=4,i=5,i=6,i=7,i=8,i=9,i=10,i=11,i=12,i=13,i=14,i=15,i=16,i=17,i=18,i=19,i=20,i=21,i=22,i=23,i=24,i=25,i=26,i=27,i=28,i=29,i=30,i=31,i=32,i=33,i=34,i=35,i=36,i=37,i=38,i=39,i=40,i=41,i=42,i=43,i=44,i=45,i=46,i=47,i=48,i=49,i=50
"[7,5,3,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,2,320,14569,358822,5744181,65894212,578563580,4081859137,24017194416,121323755421,538396088949,2137866675671,7710023778024,25563946554159,78719257074275,227025546513984,617577293430118,1594218186509118,3925391003088128,9260312715731967,21011086360990238,46005585475098670,97497117359349427,200502973153465017,401049295789990856,781830690545105261,1488199874974471615,2770494403301130647,5051771118586404993,9034443945737204883,15865629559700482298,27389892418517993343,46530458542332666766,77857026176612632779,128421579065068748191,208975076549624684098,335720064018538352450,532810289383809606804,835882308652398279022,1297000784701997082381,1991524890060516308007
"[7,5,2,2,2,1]",0,0,0,0,0,0,0,0,0,0,4,311,13541,342680,5603930,65063277,574903804,4069333371,23983171494,121249990557,538265749793,2137634951566,7709288194103,25560284490574,78701981080280,226955965837515,617333361161135,1593452740311296,3923194118730175,9254454282967429,20996401123277837,45970677404484023,97417887834955221,200330337080067061,400686564688296202,781093056663185112,1486743613888153797,2767695937151781372,5046524681545984960,9024829484863295818,15848377209385860586,27359532998495083327,46477996419035821850,77767895272288572710,128272536506489538706,208729540467513877359,335321198004522240281,532170857468627209356,834869947383575270306,1295416832233214606978,1989074237033448798955
"[7,5,2,2,1,1,1]",0,0,0,0,0,0,0,0,0,0,4,347,14850,367649,5950672,68881343,608854063,4316654296,25490361398,129111753605,574122939683,2283295782272,8244522330478,27362371881917,84321458558275,243331472306812,662263964038043,1710269626540259,4212557152745228,9940539336748889,22559757623388527,49406273953043339,104721508424440962,215390627201775666,430880432987300101,840073749457305532,1599210047545831036,2977391272269533732,5429406140580672402,9710384413866019016,17053576821853312452,29442112826546958961,50018898999479351551,83697165100330239068,138059196926041214487,224664635431365805601,360935069695208485536,572841918298932310947,898704062301188313108,1394505706390502274541,2141280129713335503590
"[7,5,2,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,1,170,7421,178434,2839382,32688279,289044625,2054758124,12173679181,61859323619,275858347125,1099783833622,3979289719136,13229413621962,40826930444658,117957358802955,321359290104565,830591593103906,2047268474674947,4833904211133371,10975970776189891,24048004279832509,50991133884364030,104912016039853903,209930841306997597,409394731930616376,779511335981728067,1451555486513912268,2647410146368031649,4735526018430646788,8317696616383279805,14361711755230606944,24401451755768398026,40834942079687195777,67363111326901341260,109628520235684393342,176135473709638114652,279562357900457821924,438615851541551564321,680627454498222740404,1045158793200509713341
"[7,5,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,34,1539,35962,559735,6389796,56506628,403211276,2400408716,12255110384,54881380817,219588054838,796924755498,2656085396084,8213953402242,23772860814461,64859385127226,167838957002222,414113906586727,978620953558341,2223692640810427,4875059562901717,10342517767033852,21289017898105172,42616591102210628,83136992173354461,158345273431670331,294938050305845314,538045674199802770,962620540903587653,1691098227397513114,2920398299679175375,4962655111772424820,8305892999328433360,13703349467950262984,22303515233132339458,35837469771249843061,56886084712550849191,89257570956719399359,138516190318948998896,212716398014747283241
"[7,4,4,4]",0,0,0,0,0,0,0,0,0,0,0,38,1954,49342,788468,8950852,77630924,541407567,3153817789,15798618599,69627160044,274920470205,986915941101,3259965984790,10007342507863,28787223212870,78143451149268,201362177911487,495069067249272,1166439536081471,2643757092327745,5783466701189470,12247023343347732,25169099653104479,50314370299803442,98036430138145858,186528187739975190,347114404775114733,632719766406708874,1131198601600830373,1986000383380003158,3427755091612897222,5821908400214142337,9739667028752624188,16062421497233373226,26133743159098373379,41978318124183711416,66614178547080313448,104493818932077784817,162121861877177907853,248912633334094342349
"[7,4,4,3,1]",0,0,0,0,0,0,0,0,0,0,1,228,11900,310275,5066331,58347721,511159595,3590997173,21032821412,105800991777,467791370408,1851747218048,6660831767936,22037453831325,67738103707302,195063187075504,529964783275725,1366613829335756,3361978024917355,7925201337934322,17970260947127136,39325826713726469,83301716586934138,171240242933602048,342396334433273176,667283228093914743,1269818639360974165,2363387555481661845,4308546497947597886,7703861810398840276,13526746141725925379,23348723643831155998,39660092590367818999,66353477050024063298,109435576057312430609,178063208058734839279,286035646702149543718,453922951297690648169,712072901233202718144,1104821477294802330967,1696338839125473598246
"[7,4,4,2,2]",0,0,0,0,0,0,0,0,0,0,1,203,10355,272504,4491860,52096678,458770615,3235473041,19006053146,95819914645,424394567026,1682238003665,6057581438891,20058732961593,61698446663674,177770440371522,483203754574958,1246503100941059,3067460219756538,7232835613839171,16403965549093627,35904905668725270,76067522906726270,156390578988975739,312741137657307552,609551429176256116,1160059530822181043,2159270527186271758,3936699579509408839,7039402668660850198,12360711417664366372,21337005508190686645,36244490240781661158,60641223797811068977,100017755634757661505,162744228851457951015,261434618627742496932,414892394368823260368,650859404185876913299,1009865053163342284665,1550570676773065189086
"[7,4,4,2,1,1]",0,0,0,0,0,0,0,0,0,0,4,375,17869,462892,7603488,88227992,778243639,5498821781,32357791804,163379547860,724539648915,2874986405383,10361519603539,34335020538651,105672908755110,304621654421121,828338407890248,2137559977731453,5261721548619596,12409729162423655,28150854624501353,61627215710774492,130581984853393509,268504038655827249,536999594328979846,1046746868645245878,1992271861328248757,3708581549709192814,6761788990044373000,12091783985491119378,21233442135342812435,36654752577605608178,62266801617927030652,104183367268920460419,171839015564185542643,279616681037262790248,449192117992987547923,712877568774184460556,1118345836552371451106,1735245318506975884929,2664384692206161578610
"[7,4,4,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,3,189,8053,202776,3308777,38422529,340019758,2411562845,14241324070,72129058129,320702120613,1275289207974,4604310030899,15279540773894,47082279212020,135858080060120,369735044790070,954773329680469,2351587014734723,5548908944659488,12592643333272282,27577281458274840,58451257128189273,120219485442907970,240489540849030573,468866567893762532,892546219465263133,1661710095787418616,3030166551327448997,5419335066004925675,9517458271704897749,16431258706066675257,27914685280667633250,46709631401212545627,77047475625442888409,125379180170633624605,201426988741561965859,319684396668885792905,501535413142912033515,778222179079873801880,1194965442843517005618
"[7,4,3,3,2]",0,0,0,0,0,0,0,0,0,0,0,159,10530,298153,5063452,59630532,529830280,3758019185,22161623728,112038826966,497242621865,1974032039179,7116721358611,23587710054652,72606332713615,209321832810324,569234751566795,1469003495743011,3616155404120209,8528877250003749,19347656730629758,42355941101397177,89748757213489945,184543273821160401,369081881777918703,719434384071846163,1369299415447278088,2548928374954491927,4647411805234041350,8310736316755091595,14593820265959164288,25192906491385994032,42796069687062352171,71605278297472465113,118104849924963689055,192180067964434787232,308728492728997009851,489958018563766494098,768633660081333073727,1192623962821140246735,1831213490592251538818
"[7,4,3,3,1,1]",0,0,0,0,0,0,0,0,0,0,1,254,15147,420034,7104175,83709808,745157117,5296115743,31290544327,158444343837,704136374693,2798467132692,10098050408652,33493807525440,103161447353852,297560779855220,809531472293523,2089856032460219,5145973178846947,12140019042319875,27545249576567978,60312889724587457,127817594154554828,262855821070234586,525764892349808645,1024950870432160596,1950957511404519122,3631950385492413888,6622505993348058975,11843395834160994899,20798324918045318532,35905232903857654293,60995990455038505659,102060683218757831126,168343186897401349642,273935984037942306734,440077446207525164737,698428261823970263443,1095700549828528924506,1700139974834714960928,2610525946973597409361
"[7,4,3,2,2,1]",0,0,0,0,0,0,0,0,0,0,1,348,20563,574741,9812313,116505124,1043106012,7445989011,44136515708,224048417984,997591147009,3970651945996,14344538317543,47622950686707,146788456158702,423653744011619,1153139363814454,2978099665114166,7335590986350690,17310421461605947,39285862176424520,86037004708637708,182363739682192489,375083163432511487,750334489317289550,1462892554601773798,2784820013502027055,5184704589828819640,9454463722386042682,16908983789942811031,29695673391512685443,51267649448572914485,87097450495585442917,145740111451511114040,240398018093493624857,391198879888320724100,628477116333691292269,997453883876466618599,1564849334412031609596,2428141795259489570197,3728423932108680651336
"[7,4,3,2,1,1,1]",0,0,0,0,0,0,0,0,0,0,2,404,21185,570601,9633985,114174854,1023669267,7324453307,43521764116,221414159393,987722946220,3937587142411,14243715574423,47339375081685,146044834705652,421819862540334,1148855738008155,2968566657116133,7315278289165056,17268808149898020,39203607300046563,85879652969670575,182071665259625062,374555928383929797,749407128671389418,1461300500096014445,2782148459829338851,5180317162273962071,9447404461154352113,16897845963237155337,29678428871245045308,51241433920307850690,87058303504001767926,145682677468611354819,240315227223356500126,391081646961400069211,628314128366349331946,997231592710882142496,1564552339829892246627,2427753901892163518861,3727930301340245310439
"[7,4,3,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,1,179,8481,217217,3601617,42532316,382154550,2745143625,16379361437,83643957524,374344442530,1496386266147,5425140042847,18063974488009,55813529993577,161409230543256,440070348616117,1138107953875251,2806638117204095,6629594804804388,15058400943232646,33001804075846767,69993306427297363,144037115574304611,288270233712725410,562250031347433900,1070691849685146678,1993990720384172827,3637072396229818441,6506312741511694353,11428818477923503429,19734777467750007070,33532522309156738594,56118266236355788781,92579275703927440483,150671963621170954884,242086833419043372453,384252667577280869856,602885710689445882254,935559434480688929591,1436661240245825428154
"[7,4,2,2,2,2]",0,0,0,0,0,0,0,0,0,0,0,84,4980,142730,2491888,30089427,272759217,1964948296,11727285041,59839424972,267496225461,1067969983706,3867473675399,12864210485713,39711751422736,114754807343958,312662023639717,808143005161082,1991948622069870,4703222411632655,10678971949907264,23396540729610858,49608019300031090,102062566049615215,204221538585197837,398246511507469758,758258363221030521,1411933353291021046,2575066023432445682,4605987691544974535,8089950113462605361,13968120951428627662,23732157142938757959,39714031699417113712,65512674187168168937,106615052128343722292,171290851423487466841,271868528372424339243,426538237467080801256,661876524884140194683,1016351864037848043441
"[7,4,2,2,2,1,1]",0,0,0,0,0,0,0,0,0,0,1,199,10866,301503,5202889,62628445,567753404,4094691207,24472043013,125037755548,559609584912,2236474674350,8105850250121,26981056390168,83338904848026,240940595505886,656734325294130,1698047492047128,4186619792756739,9887480093903549,22454768908289663,49204733288569899,104345195783219763,214705627614633953,429662398388485292,837954267151816119,1595595208856938125,2971339924788468007,5419450452541332418,9694268918622027992,17027883597632094648,29401729354063844243,49956270858620249155,83601257203139724375,137914063456620575651,224447468902768965217,360613562140328106547,572370720921392107492,898020071960358865985,1393521835782828484133,2139877130343094780739
"[7,4,2,2,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,1,186,9183,241224,4071584,48690541,441347836,3190051971,19118803990,97951594346,439442008007,1759834501458,6389288331367,21297698844015,65862101081802,190600810441309,519948435833496,1345296923960515,3318808752723931,7841803433632234,17816348657629379,39054448143520512,82845287485932540,170510983000548512,341298721760367191,665753144838012031,1267915813803650487,2361487413787574959,4307708555456743965,7706499884530210549,13537798885889988390,23377633202265143914,39724059676368137291,66482692961903347986,109681463584866645365,178511170456260897132,286824475041006692252,455273938384733709135,714332936231710509167,1108526053736735792187,1702303133539969823256
"[7,4,2,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,86,4103,101406,1658534,19625224,177776934,1289086457,7758851239,39918376949,179757458090,722172768664,2628925717304,8782483148595,27209062506771,78860610214305,215398281949068,557900249745726,1377538445906287,3257321860065794,7405213392304614,16241387787606475,34468371935984802,70970497908270467,142105030167770501,277279516434789713,528212004971785620,984017419084398998,1795357111139732734,3212468569215418484,5644145138082943485,9747909429727271068,16566045025897229609,27728244307378237934,45749945353557855140,74466672559014796223,119659760848155307179,189948865720066207133,298053064023008751911,462556908973127523594,710362719717094544974
"[7,4,1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,16,812,19075,300103,3497472,31634887,230365604,1394808422,7218740980,32678938655,131877850901,481873143916,1614776096788,5015488459859,14567048261056,39857399571943,103383668668029,255578990439615,604957292409306,1376499752768875,3021205977663204,6415795594231776,13217274983648356,26477439096202438,51684468033117044,98492634465835763,183540720916887986,334964229779680673,599501875053598143,1053518094400688351,1819856794538238936,3093268251066100402,5178290553143694371,8545022007202600161,13910323305973161282,22354805799681997475,35489706913076384488,55692691847283314521,86438084327699245331,132755430246204800588
"[7,3,3,3,3]",0,0,0,0,0,0,0,0,0,0,0,13,1338,43968,794850,9660721,87428783,627461006,3730034869,18965300490,84524519008,336621770665,1216529896665,4039720028645,12453463904978,35945958845053,97846876872320,252709121247530,622482157755008,1468944053493108,3333779149358565,7301074829608028,15475321787541631,31829337297541545,63672692606754090,124139125275436599,236314918604715924,439962534821799916,802280494497720534,1434843476360381383,2519868898416382768,4350368100471476767,7390706714165618821,12366808927181764296,20398938462102625905,33194988502505459073,53328912264426103055,84637829383502213408,132783083452643445153,206035892243643137273,316368203349754440359
"[7,3,3,3,2,1]",0,0,0,0,0,0,0,0,0,0,0,68,6247,200218,3616752,44164466,401777160,2896784337,17285979602,88160513484,393879943290,1571722780771,5689055705051,18915585893271,58372156822813,168628372977846,459332937608425,1186997647163685,2925248190218211,6905808087505324,15678061871412997,34345233671273079,72815740030853037,149797307526309092,299714615458586883,584428243846194102,1112686059775721264,2071804363537636989,3778370077267921666,6758068655655240956,11869466618160179234,20493232437269104342,34817548649410723301,58263242643277086634,96109595438259631163,156405353829328646776,251281051290148080691,398820712648198681298,625706359314090619672,970921166818669237772,1490891269556185177207
"[7,3,3,3,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,70,5221,158974,2835445,34580704,315260739,2279609604,13641462216,69744888029,312249895349,1248122574636,4524082547490,15059449105510,46516252404637,134482993175443,366559192218801,947762385921868,2336724924024712,5518535986247124,12532598026611309,27462110923213019,58236376823100042,119828617295300212,239794977569336518,467658721147438126,890487408540755054,1658265492522618757,3024502453974900945,5410171025670535050,9502854788136707791,16408315937397420710,27879120098130506254,46655189705550366184,76965123574665401295,125256001192410144664,201244692132285139575,319417317275480642353,501147848978085659747,777664873450203602971,1194170968158766631507
"[7,3,3,2,2,2]",0,0,0,0,0,0,0,0,0,0,0,39,3727,121688,2230123,27545702,252803108,1834887277,11004941288,56344334109,252485745524,1009852249488,3661967650792,12193333985516,37671357031179,108928658012078,296940635842604,767826667958683,1893217040017108,4471354048808344,10154852787970924,22252560047137644,47190117121060387,97101438780736320,194317482134839329,378971148291994188,721620966841639683,1343812970728925519,2450989431274332926,4384304261972670447,7700972040466116468,13297098241868073383,22592956340647858497,37808971558442457333,62371989098717470616,101506705715864188382,163087647970152913668,258854331081791456496,406128165553076733603,630216710861199077674,967752003163204495048
"[7,3,3,2,2,1,1]",0,0,0,0,0,0,0,0,0,0,0,103,8032,250750,4538861,55903649,513267010,3730648132,22410592106,114909578756,515581162524,2064351759734,7492497955470,24966261424637,77180154232997,223282431588422,608924257462810,1575100328634358,3884834741828093,9177375652399609,20847028016445041,45690740217832365,96909396472221467,199433405586900306,399147867856676236,778522745031237599,1482559199361308239,2761053517879851005,5036241718889689485,9009310400557113336,15825565122993805384,27326930526564367589,46432829194956656062,77707538683638295308,128195395856176897349,208636676468825673053,335219135376576741475,532076220449691807506,834816853184430637376,1295468368956074843841,1989339891272676248708
"[7,3,3,2,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,102,6454,187073,3304636,40460660,371732385,2709488404,16328660349,83976256952,377770311780,1515878296358,5511812331930,18393759760380,56932209408054,164873035613045,450013852368905,1164869994879038,2874742622127476,6794567453755233,15440855423976287,33854169587595912,71826414091589476,147853588834460100,295983742535270006,577420676304386602,1099788048935570181,2048511112671615271,3737047520078958056,6685983745118196866,11745697825777831503,20283887897443393787,34468457445445934643,57688916263992375546,95176743223546935346,154908528082213698636,248907029263087401696,395096909218970405449,619926797196458980833,962041171969996913423,1477378932272499301092
"[7,3,3,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,42,2342,62993,1077074,13062765,120086625,878947527,5323195207,27504322349,124231139521,500199828893,1823875122968,6100650867982,18918661254408,54873651708929,149970174181026,388621348816647,959934817931034,2270575313774083,5163283057204223,11326754580431545,24042621337073181,49511402579222300,99150087054703134,193485961018617838,368621913541693612,686769846333745404,1253112597293334004,2242358124237129254,3939922987826678276,6804898609423483945,11565041166296002622,19358281273250011810,31941056601334599432,51991621467610488757,83547008611729220113,132626301550754450578,208111315029548828140,322979916252634915205,496018588829326114335
"[7,3,2,2,2,2,1]",0,0,0,0,0,0,0,0,0,0,0,29,3019,101559,1907073,24032448,224116450,1647139852,9975041246,51455582495,231925622710,931854862287,3391286809863,11324316720964,35066650390588,101584659611015,277338321430921,718026958430068,1772240002335448,4189205429386301,9520878763938203,20875928540797011,44293477091757601,91181093002952637,182538522979302645,356114747030519396,678289938832269348,1263431538417118989,2304876370065970013,4123716975283355174,7244459499789444037,12510690552318864426,21259559686986736447,35581697731504650297,58703853745611462171,95545948520361334076,153523560242178414259,243692531681681459702,382366242779339141540,593380404398078933813,911237821842456212874
"[7,3,2,2,2,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,54,4143,128720,2354228,29435286,274220425,2018136366,12246642314,63302654826,285846632763,1150302868601,4191769646830,14012549832250,43430078886492,125906717431178,343954215763351,890957864390271,2200029528427761,5202327671592871,11827119025752269,25939625204349613,55049976086037737,113346441290800035,226950882850258565,442824758604284729,843555657420789433,1571446442029231548,2867075299183072008,5130017477577908114,9013016321453751641,15565958282963398410,26453064663958323382,44276440692446651769,73052397537621064151,118904910042962016058,191064624204795072474,303293793428238654635,475899673375477304246,738554076426374855793,1134208494055107278679
"[7,3,2,2,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,47,3068,86728,1523564,18795694,174736184,1288726826,7846894907,40701058381,184361842543,743891019064,2716843395283,9098896140263,28244078064042,81985409298818,224205369250995,581278874095390,1436403095309888,3398723097896368,7730831593564903,16963142289493208,36013651496108466,74175775776935780,148563068102051031,289947488651125868,552453732520704115,1029354087710778446,1878353809755424836,3361411798359626991,5906501035777487802,10202037568226400413,17339337473167405417,29024843660944799778,47892574211329605194,77959019473609443793,125278495957297480211,198877938612846023997,312077770347687096267,484341688647256813026,743845260969515660064
"[7,3,2,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,20,1290,33799,566186,6852218,63464767,469351200,2871555091,14969169399,68113406586,275904262084,1010936943254,3394804567160,10561259248419,30712805123377,84117699037359,218360512354277,540162847193093,1279234942144231,2911974557648632,6393605403923837,13581404835841596,27986226818010104,56075100351425801,109479351763171341,208661739070368528,388892106778205510,709814738858179975,1270517098258002794,2232903062860643932,3857432478134456137,6557042250639868936,10977480989329609420,18115587398401236094,29491501828948429832,47396776468089643228,75248292343096777550,118088365317422827705,183285133069253408812,281505134453507108005
"[7,3,1,1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,3,257,6398,101921,1204228,11092311,82305167,506786937,2659916290,12178662683,49594284375,182522848239,615161294296,1919499469876,5595757668091,15357034654422,39932306855592,98920011160144,234542130782101,534428401653228,1174394598618676,2496465852701161,5147468954437312,10319320131287076,20156452491024898,38432592013005721,71653774325477235,130824612344308756,234230577199300841,411754131272340366,711475135487355845,1209629960944111035,2025450345862467601,3343012553783004213,5443051488697089833,8748798885514144826,13891372655236392008,21802180302733077281,33842333282042630990,51982362729197473277
"[7,2,2,2,2,2,2]",0,0,0,0,0,0,0,0,0,0,0,0,225,9995,206066,2717767,26056675,195128020,1197554818,6238073786,28322523989,114428951617,418219995384,1401192645138,4350319922003,12628897990729,34536699381522,89538195116596,221248099672164,523471930739482,1190627702985121,2612327828073892,5545753938132300,11421645148524814,22874517367027891,44641264415029686,85053207290751753,158466986846920314,289155961883632697,517438403803403301,909181863870276481,1570334597462717141,2668847433576543408,4467331506215017577,7371137391982352193,11998353004189771805,19280645638888079522,30607100555710808465,48027463784663377704,74536766657799914323,114470548809131944658
"[7,2,2,2,2,2,1,1]",0,0,0,0,0,0,0,0,0,0,0,2,579,23377,469048,6136890,58740619,440110831,2704288739,14104902816,64116449490,259311068133,948563785200,3180336013050,9879983703187,28695650076222,78507439703495,203604896981431,503251791197370,1190982755053287,2709432168717780,5945754489624360,12624260273811008,26003448443330838,52083905600987350,101655529807030815,193696923994875898,360914012087356019,658606618527052388,1178632025641020389,2071061967789609779,3577295227331686763,6080011781729671304,10177592496900635234,16793682542004124931,27336705879038347633,43929671829645286525,69737969243787407572,109432541979664163911,169838533503694811337,260835987388760333500
"[7,2,2,2,2,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,5,662,23229,444828,5728311,54626414,409646507,2523030903,13193792250,60119543499,243654595747,892861692234,2997962305514,9324721169478,27110158527421,74231725637945,192650357296158,476454085074724,1128120735076244,2567498710832292,5636298656798829,11970875247647544,24664110302110582,49412544866458044,96460818661480880,183830688075427898,342582468584431322,625238478000522705,1119049518847577036,1966571820533844283,3397129746239470175,5774282843019157843,9666542933284134185,15951489797838606902,25967358643731740881,41731432163863893329,66251560393965079840,103966349696326258253,161361628051194716867,247826476383204991936
"[7,2,2,2,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,4,456,14307,258575,3253016,30829950,231420393,1430251433,7508855918,34341953098,139630287868,513056090996,1726568320296,5380239065597,15666298464543,42951537550162,111589002299519,276223118249084,654516915066897,1490568527679648,3273943304133302,6956722554423593,14338964319920989,28736884381449400,56115634928126703,106970704896115237,199393887337718767,363982329833258299,651570733135512483,1145225310255765482,1978584160001203063,3363528668975634500,5631411020711967057,9293755778571280109,15130642337651594163,24318042477446309565,38609464158132438393,60592628943851261810,94048947644598056596,144452705471569647209
"[7,2,2,1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,1,182,5569,95503,1166275,10948239,82237498,510555533,2694931216,12388545562,50595681753,186608267113,629945719373,1968054790775,5742788615884,15772372589450,41036748363572,101704627367304,241238305778552,549861438046652,1208626391464786,2569797132409219,5299645174878195,10626043306862724,20758306132774590,39584620913989333,73808776975655853,134770484693269468,241312890707964773,424231056378785961,733074915100199765,1246414217073735036,2087133348871252190,3444952224735714133,5609218962214281676,9016158586405011592,14316275259163486441,22469601104030295964,34879096844995317086,53575904707668264769
"[7,2,1,1,1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,38,1246,20723,245281,2273301,17077709,106625112,566823331,2623478462,10778352859,39951849078,135424780710,424522501866,1242201043515,3419471254365,8913672287525,22126288413966,52551746309628,119915986676507,263830738070417,561411661502830,1158587825676773,2324406490439160,4543141894753436,8667340320815742,16167315689274652,29530753091262547,52892293008208676,93010358248195195,160761168798367935,273393286513338499,457887206951655982,755902602245849827,1230982528031890325,1978934145751060176,3142638119478374807,4932977478696089980,7658150908921282740,11764381746428537993
"[7,1,1,1,1,1,1,1,1,1,1,1,1]",0,0,0,0,0,0,0,0,0,0,0,0,0,109,2005,23247,212171,1593819,10025614,53800972,251268126,1040446688,3881904111,13229110325,41650994030,122308993502,337665610187,882311915261,2194487579925,5220689485439,11929406984215,26276948815222,55970946741401,115605739639413,232102650123712,453940525939128,866497264245768,1617065829544016,2954929522687840,5294513092569904,9313380227284259,16102137785221974,27390677227315544,45885343851176579,75765491942401767,123406635173314144,198422534012611362,315151968420003004,494760000929851257,768181207066234637,1180207314547272353
"[6,6,6,1]",0,0,0,0,0,0,0,0,0,0,0,21,843,18308,268395,2893813,24290556,165742395,950856047,4710791409,20590746572,80792192987,288617095490,949694970981,2906408803925,8339930018914,22593292224418,58122663240438,142704559586979,335844027766297,760466282190505,1662242418434016,3517525720824987,7224679541335318,14435213339891743,28114410567132362,53471392530186258,99473275558796335,181267488110322867,323994318650966382,568697013782394742,981354005534440652,1666499690304637571,2787509065757826219,4596452327895152299,7477548596193120702,12009752813727581081,19056009724670786515,29889345731576604113,46369420621287319402,71187646437054550003
"[6,6,5,2]",0,0,0,0,0,0,0,0,0,0,1,114,4106,89484,1330204,14517954,123027771,845562122,4877835455,24269400953,106435244742,418723286885,1498969247525,4940712711292,15141135583310,43496245162182,117942547350209,303647381428923,746001772740670,1756600804776318,3979354164888874,8701507035167574,18419609041742300,37842902873007396,75630137084183888,147330386930460809,280262237341157031,521457798201603437,950372253911240407,1698888955579332537,2982332343649156911,5146866250435132284,8740974369396244349,14621915767023955965,24112409307895926747,39228696114221275008,63009028761152799402,99982133890631393435,156829037125241895549,243309756049645979835,373549912581681436756
"[6,6,5,1,1]",0,0,0,0,0,0,0,0,0,0,1,115,4477,99358,1487430,16306871,138641721,955291066,5521922852,27518420916,120841270731,475898433943,1705107006667,5624091184851,17245305084305,49564476140951,134449973783582,346260602305147,850930067037089,2004143899213637,4541035733007350,9931404523119294,21026161535225644,43203475785457655,86352808713070283,168234507680757429,320054025539564358,595537894906664312,1085454757796223408,1940472409337114191,3406592835920261828,5879310188184494101,9985286939167304462,16703995840737738050,27546758899085338945,44817351544528765212,71987367680009702852,114231538272274102960,179184014938960479424,277997333956471618290,426812684069297681066
"[6,6,4,3]",0,0,0,0,0,0,0,0,0,0,1,137,5257,119124,1810885,20032220,171236452,1183906352,6858761380,34232914677,150489236710,593124785220,2126365004480,7016679748321,21522824091450,61875058629212,167879770111761,432429080125000,1062834659097697,2503512458288069,5673043680384039,12408101780415853,26271363962103816,53983968047787414,107905218234440152,210231578537683720,399963722449778461,744250461381405151,1356538560055801813,2425141982395475187,4257532841429393786,7348034967208071873,12479913819503382343,20877421833998557074,34429587687832053702,56015959024483048272,89975792394862985061,142777180193186228267,223962377609028030077,347471472286085036188,533480173969902150593
"[6,6,4,2,1]",0,0,0,0,0,0,0,0,0,0,4,341,13640,316318,4872202,54378972,467863154,3250571444,18902078403,94616198877,416882814552,1646026032412,5909539884112,19523222083577,59941633355140,172456726955806,468208447345560,1206660740372409,2967069221960831,6991540447068368,15848038722272854,34672139208473640,73427204759937440,150912189201149646,301700113584912109,587888190634694182,1118595135327216684,2081708980674527681,3794684754024953933,6784507443474683701,11911663327641424122,20559621918391268532,34920605360228901592,58421203540775812747,96348833488078479611,156763618124312081227,251811852237944738471,399599208722265473796,626837198751477223411,972548857259923338019,1493213795488365113941
"[6,6,4,1,1,1]",0,0,0,0,0,0,0,0,0,0,1,178,7937,188972,2939714,33013820,285396818,1990453605,11610418135,58263070433,257231130798,1017326995415,3657278806501,12095664549918,37170254987003,107020697226556,290732060862379,749654014939710,1844122170810414,4347024996923637,9856624881905699,21569852475276439,45689996706843293,93923123340484044,187800370645640263,365998207933385414,696485951696374652,1296306913396409376,2363230536195277360,4225579637159582406,7419483455992411762,12806957727726198502,21753993731500874779,36395804860352929485,60027249852832348942,97671147266223059344,156896888020466206440,248987923034375944023,390591210592782475567,606026873014420276101,930495011609056868282
"[6,6,3,3,1]",0,0,0,0,0,0,0,0,0,0,1,194,8775,212445,3342998,37768005,327395117,2285960250,13338993313,66937594657,295482483861,1168351230184,4199232169300,13884960315584,42660084209914,122804594457639,333556779515734,859956300266109,2115200898602248,4985483761745611,11303229774164595,24733511675817311,52387591066574663,107684284321024627,215303961305913828,419578415692345766,798412985419888827,1485956988746660092,2708878363192470523,4843466755402410808,8504165860819577299,14678891939689423312,24933119609331338887,41713844919896723103,68796992259505296906,111938670962564185162,179813252520797221203,285351227183004566299,447629340175508832378,694517261040137000665,1066352301482087288364
